method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
STFT,amplitude_ratio_post_over_pre,descriptive,False,20251003_M3,M,SCN,0.4938292651564773,1,1,4B-M3SCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250703_m2,F,DRG,0.9216090142082088,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250626_M1,M,SCN,-1.0180212959222752,1,1,1C-SCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250703_m1,F,DRG,0.1950427743310929,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250626_M1,M,DRG,0.9676966436419291,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250703_m1,F,SCN,-1.0111848454751275,1,1,6C-SCNmm1
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250703_m2,F,SCN,-1.4329686799474888,2,2,7A-SCNmm2 | 7B-SCNcm2
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250728_M1,F,SCN,-1.1550801849928236,2,2,6A-SCNrM1 | 7A-SCNcM1
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250728_M2,F,SCN,-1.6435282920441707,2,2,6B-SCNrM2 | 7B-SCNcM2
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,SCN,-0.7565277667298119,1,1,1A-1FSCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,SCN,0.32069519743911123,1,1,1B-2MSCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_3F,F,SCN,-1.1327192516581805,1,1,1C-3FSCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_4F,F,SCN,-0.6924121318095074,1,1,1D-4FSCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_2M,M,DRG,1.4024625415026297,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
STFT,amplitude_log_ratio_post_over_pre,primary,False,20250811_1F,F,DRG,1.6152486837541824,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M1,M,SCN,-1.4055899301922274,1,1,2A- M1SCn
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M1,M,DRG,0.0925948537703642,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M2,M,SCN,-0.037694154971912024,1,1,4A- M2SCN
STFT,amplitude_log_ratio_post_over_pre,primary,False,20251003_M3,M,SCN,-0.705565438625718,1,1,4B-M3SCN
STFT,pre_envelope_log_rate_per_day,secondary,False,20250703_m2,F,DRG,-0.20902167233477542,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
STFT,pre_envelope_log_rate_per_day,secondary,False,20250626_M1,M,SCN,-0.26856770222118237,1,1,1C-SCN
