scenario_number,scenario_id,profile_type,direction,duration_hours,method,metric,primary_metric,n_anchors_total,n_anchors_valid,median,ci95_low,ci95_high,bootstrap_repeats
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,timing_error_hours,False,53,53,-1.3866921534021799,-2.03215217528043,-1.0695302644997469,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,absolute_timing_error_hours,False,53,53,1.3866921534021799,1.0695302644997469,2.03215217528043,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,Hilbert,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,primary_rmse_hours,True,53,53,0.18370503376086303,0.18285418393201008,0.1893308842099163,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,full_trajectory_rmse_hours,False,53,53,0.17107489052274488,0.16860331870176923,0.1778919633160388,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,primary_bias_hours,False,53,53,-0.08068517131351349,-0.08331306644773957,-0.05883287965436937,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,primary_pearson,False,53,53,0.99149518479832,0.9910683242390702,0.9926629421398416,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,dynamic_range_ratio,False,53,53,1.1178167641325547,1.1178167641325547,1.1178167641325547,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,timing_error_hours,False,53,53,1.884005156249998,1.8838851562500167,2.2172451562499873,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,absolute_timing_error_hours,False,53,53,1.884005156249998,1.8838851562500167,2.2172451562499873,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
